"county_state","cum.case.num"
"Cheatham County_TN",853
"Cheboygan County_MI",97
"Chelan County_WA",1887
"Chemung County_NY",747
"Chenango County_NY",262
"Cherokee County_AL",642
"Cherokee County_GA",6275
"Cherokee County_IA",300
"Cherokee County_KS",540
"Cherokee County_NC",677
"Cherokee County_OK",1177
"Cherokee County_SC",1253
"Cherokee County_TX",1571
"Cherry County_NE",53
"Chesapeake City_VA",4433
"Cheshire County_NH",154
"Chester County_PA",7096
"Chester County_SC",1073
"Chester County_TN",667
"Chesterfield County_SC",1272
"Chesterfield County_VA",6180
"Cheyenne County_CO",14
"Cheyenne County_KS",76
"Cheyenne County_NE",46
"Chickasaw County_IA",292
"Chickasaw County_MS",719
"Chicot County_AR",1013
"Childress County_TX",75
"Chilton County_AL",1661
"Chippewa County_MI",84
"Chippewa County_MN",260
"Chippewa County_WI",677
"Chisago County_MN",594
"Chittenden County_VT",856
"Choctaw County_AL",366
"Choctaw County_MS",189
"Choctaw County_OK",352
"Chouteau County_MT",36
"Chowan County_NC",396
"Christian County_IL",630
"Christian County_KY",1438
"Christian County_MO",1662
"Churchill County_NV",154
"Cibola County_NM",446
"Cimarron County_OK",27
"Citrus County_FL",2846
"City and Borough of Juneau_AK",302
"City of St. Louis_MO",7187
"Clackamas County_OR",2567
"Claiborne County_MS",477
"Claiborne County_TN",456
"Claiborne Parish_LA",537
"Clallam County_WA",239
"Clare County_MI",123
"Clarendon County_SC",1114
"Clarion County_PA",139
"Clark County_AR",384
"Clark County_ID",37
"Clark County_IL",193
"Clark County_IN",2418
"Clark County_KS",55
"Clark County_KY",361
"Clark County_MO",74
"Clark County_NV",69151
"Clark County_OH",1959
"Clark County_SD",49
"Clark County_WA",3470
"Clark County_WI",518
"Clarke County_AL",1158
"Clarke County_GA",5202
"Clarke County_IA",270
"Clarke County_MS",626
"Clarke County_VA",98
"Clatsop County_OR",225
"Clay County_AL",613
"Clay County_AR",342
"Clay County_FL",5304
"Clay County_GA",121
"Clay County_IA",377
"Clay County_IL",196
"Clay County_IN",334
"Clay County_KS",55
"Clay County_KY",347
"Clay County_MN",1578
"Clay County_MO",1850
"Clay County_MS",613
"Clay County_NC",133
"Clay County_NE",86
"Clay County_SD",586
"Clay County_TN",267
"Clay County_TX",81
"Clay County_WV",37
"Clayton County_GA",7200
"Clayton County_IA",289
"Clear Creek County_CO",47
"Clearfield County_PA",345
"Clearwater County_ID",73
"Clearwater County_MN",37
"Cleburne County_AL",428
"Cleburne County_AR",362
"Clermont County_OH",1835
"Cleveland County_AR",192
"Cleveland County_NC",2446
"Cleveland County_OK",6535
"Clinch County_GA",390
"Clinton County_IA",1206
